id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7928,64.0,320.0,0,40716000000
instance_7930,64.0,320.0,4000000,5357000000
instance_7932,64.0,320.0,0,29897000000
instance_7933,64.0,320.0,0,38176000000
instance_7934,192.0,960.0,161000000,34133000000
instance_7935,64.0,320.0,538000000,36534000000
instance_7936,96.0,480.0,2000000,6125000000
instance_7937,64.0,320.0,409000000,24502000000
instance_7939,64.0,320.0,391000000,54722000000
instance_7938,192.0,960.0,50000000,1086748000000
instance_7940,64.0,320.0,1269000000,1059000000
instance_7941,64.0,320.0,0,1194000000
instance_7942,64.0,320.0,0,9105000000
instance_7943,64.0,320.0,0,45462000000
instance_7944,64.0,320.0,0,129400000000
instance_7956,64.0,320.0,0,422722000000
instance_7945,12.0,120.0,184000000,18006000000
instance_7946,48.0,200.0,170000000,4074000000
instance_7947,48.0,200.0,0,166591000000
instance_7948,48.0,300.0,134000000,460000000
instance_7950,48.0,240.0,363000000,105783000000
instance_7949,48.0,240.0,1000000,7164000000
instance_7951,64.0,320.0,0,166848000000
instance_7953,64.0,320.0,0,8848000000
instance_7954,64.0,320.0,0,18467000000
instance_7955,48.0,200.0,0,2052042000000
instance_7957,96.0,480.0,652000000,2158898000000
instance_7958,64.0,320.0,377000000,5594000000
instance_7959,64.0,320.0,0,2395899000000
instance_7960,64.0,320.0,15000000,333198000000
instance_7961,64.0,320.0,0,1053785000000
instance_7962,64.0,320.0,198000000,2763000000
instance_7963,48.0,200.0,408000000,327835000000
instance_7965,8.0,40.0,786000000,3350000000
instance_7966,12.0,120.0,294000000,15939000000
instance_7968,96.0,480.0,43000000,3474000000
instance_7969,64.0,320.0,88000000,11618000000
instance_7970,64.0,320.0,30000000,24956000000
instance_7971,64.0,320.0,60000000,34525000000
instance_7972,64.0,320.0,0,35231000000
instance_7973,64.0,320.0,30000000,29017000000
instance_7974,64.0,320.0,481000000,36662000000
instance_7975,64.0,320.0,29000000,36072000000
instance_7977,64.0,320.0,30000000,11286000000
instance_7979,64.0,320.0,150000000,46832000000
instance_7980,64.0,320.0,30000000,13816000000
instance_7981,64.0,320.0,121000000,12778000000
instance_7982,64.0,320.0,89000000,23746000000
instance_7983,192.0,960.0,230000000,973574000000
instance_7985,64.0,320.0,1471000000,4137000000
instance_7986,96.0,480.0,1000000,742857000000
instance_7987,64.0,320.0,390000000,15283000000
instance_7988,64.0,320.0,270000000,27900000000
instance_7992,48.0,240.0,191000000,306842000000
instance_7996,8.0,40.0,221000000,13679000000
instance_7997,96.0,480.0,580000000,2726000000
instance_7998,64.0,400.0,93000000,31154000000
instance_7999,96.0,480.0,297000000,5435000000
instance_8001,64.0,320.0,421000000,2462429000000
instance_8003,192.0,960.0,540000000,100188000000
instance_8004,48.0,300.0,59000000,97294000000
instance_8005,64.0,320.0,0,1363304000000
instance_8006,64.0,320.0,578000000,3810000000
instance_8007,96.0,480.0,0,4000000000
instance_8008,64.0,320.0,120000000,18593000000
instance_8009,192.0,960.0,202000000,284799000000
instance_8010,64.0,320.0,518000000,99137000000
instance_8011,64.0,320.0,90000000,17479000000
instance_8012,8.0,40.0,938000000,3594000000
